Employee_ID,First_Name,Last_Name,Department,Age,Salary,Join_Date,Join_Year
1001,Rahul,Sharma,It,28,65000.0,2022-03-14,2022
1002,Priya,Patel,Hr,31,72000.0,2020-07-21,2020
1003,Rohan,Deshmukh,Unassigned,35,70909.09090909091,2019-11-05,2019
1004,Sneha,Kulkarni,Marketing,26,58000.0,2023-01-16,2023
1005,Vikram,Singh,Sales,31,68000.0,2021-09-30,2021
1006,Ananya,Joshi,It,31,76000.0,2022-06-12,2022
1007,Rahul,Mehta,Operations,38,91000.0,2018-04-23,2018
1008,Neha,Pawar,Unassigned,27,61000.0,2023-08-07,2023
1009,Kunal,Shah,Finance,33,70909.09090909091,2020-02-19,2020
1010,Isha,Gupta,Marketing,30,67000.0,2021-12-01,2021
1011,Amit,Kumar,Unassigned,29,55000.0,2022-01-05,2022
1012,Pooja,Verma,Hr,31,60000.0,2020-10-15,2020
1013,Rakesh,Jain,Finance,41,88000.0,2019-06-09,2019
1014,Sunita,Roy,Sales,25,70909.09090909091,2023-03-01,2023
1015,Arjun,Das,Unassigned,34,71000.0,2021-07-17,2021
1016,Meena,Singh,Operations,31,79000.0,2018-09-25,2018
1017,Kiran,Patil,Unassigned,37,82000.0,2019-12-11,2019
1018,Deepa,Nair,Marketing,28,64000.0,2022-11-21,2022
1019,Ravi,Gupta,It,31,70909.09090909091,2021-05-10,2021
1020,Nikita,Rao,Hr,32,73000.0,2020-04-18,2020
1021,Anil,More,Finance,45,95000.0,2017-08-14,2017
1022,Geeta,Shah,Unassigned,31,62000.0,2022-01-30,2022
1023,Mohan,Kale,It,27,70909.09090909091,2023-02-15,2023
1024,Sonia,Arora,Marketing,31,69000.0,2021-09-09,2021
1025,Raj,Patel,Unassigned,31,57000.0,2020-12-12,2020
1026,Kavita,Joshi,Hr,36,81000.0,2019-03-27,2019
1027,Sameer,Khan,Unassigned,29,66000.0,2022-08-08,2022
